model,term,estimate,se_cluster,p_cluster,p_wild,ci_low,ci_high,N,G
M3a,receive_dig,0.04079643938286839,0.005777957350239981,3.664653230948852e-10,0.001,0.029313963301309715,0.05227891546442706,90118,89
M3a,make_dig,0.05172496121993399,0.005443059175505276,3.7808919447400224e-15,0.001,0.040908024886776057,0.06254189755309192,90118,89
M3b,receive_dig:lowcov2019_z,-0.0026924548716298793,0.004935763976953187,0.5867903607656089,0.582,-0.01250124859822773,0.007116338854967971,90118,89
M3b,make_dig:lowcov2019_z,-0.02021063449891532,0.004802047834081892,6.172811102995547e-05,0.001,-0.029753695490020732,-0.010667573507809908,90118,89
