model,term,estimate,se_cluster,p_cluster,p_wild,ci_low,ci_high,N,G
M1,anydigpayment,0.03617476245390756,0.005142845649763501,2.954780357539899e-10,0.001,0.02596629452250146,0.046383230385313653,100560,97
M2,anydigpayment,0.03957086386180651,0.004821203748286039,1.0308629994708698e-12,,0.030000850058764187,0.04914087766484884,100560,97
M2,anydigpayment:lowcov2019_z,-0.01974817527440055,0.004742982808612062,6.837627585280705e-05,0.001,-0.02916292173935682,-0.010333428809444283,100560,97
M2b,anydigpayment:lowcov2019_bmedian,-0.03958190071107486,0.009702020596679014,9.315617109512658e-05,0.001,-0.05884025938563352,-0.02032354203651621,100560,97
