model,term,estimate,se_cluster,p_cluster,p_wild,ci_low,ci_high,N,G
M4_mobile_loan_app,anydigpayment,0.07374862432661605,0.0070759039951687,1.8449780786513304e-17,0.001,0.05970306590630653,0.08779418274692558,100452,97
M4_mobile_loan_app,anydigpayment:lowcov2019_z,0.01097060598146225,0.006334299873124821,0.08649682340033028,0.081,-0.0016028798912234403,0.02354409185414794,100452,97
M4_emergency_loan_source,anydigpayment,0.0071752069935735905,0.00325852297750539,0.030061436792159016,0.026,0.000707090004462051,0.01364332398268513,97540,97
M4_emergency_loan_source,anydigpayment:lowcov2019_z,-0.008833904224393539,0.0038019648487095208,0.022261890290545802,0.018,-0.01638074480207434,-0.0012870636467127387,97540,97
M4_informal_borrow,anydigpayment,0.10661665556432433,0.007303017741820746,4.080039057646747e-26,0.001,0.09212027991997747,0.12111303120867119,100428,97
M4_informal_borrow,anydigpayment:lowcov2019_z,0.017364836615067342,0.006089946356240596,0.005329273562260277,0.007,0.005276388639864271,0.029453284590270412,100428,97
